Id_destinasi,Nama,Rating,Jam Operasional,Tiket Masuk,Kategori,Kota,Lokasi,Deskripsi
12,Taman Nasional Gunung Gede Pangrango,4.7,06.00-18.00 WIB,Rp34.000,Alam,Sukabumi,https://maps.app.goo.gl/g5hGXszaxUVCtZAW8,Taman nasional seluas 21.975 hektar ini didirikan pada tahun 1980 dan memiliki hutan & satwa liar pegunungan.
13,Pantai Karang Hawu,4.5,24 Jam,Rp2.500,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/X3C5z1jWR6hQAd3C6,"Objek wisata pantai ini dikenal dengan nuansa mistis yang berhubungan dengan mitos penguasa pantai selatan, Nyi Roro Kidul. Pantai ini merupakan salah satu pantai terkenal di Sukabumi dengan ciri khas tebing yang menjorok ke laut."
14,Curug Bibijilan,4.4,08.00-17.00 WIB,Rp8.000,"Alam,Air",Sukabumi,https://maps.app.goo.gl/8fkMyMvJgvyu5Cja7,Curug bibijilan ini memiliki ketinggian kurang lebih 100 meter serta mememiliki leuwi yang dapat anda gunakan untuk bermain air.
15,Pantai Minajaya,4.3,24 Jam,Gratis,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/gVNP86VFMUjrqjaq6,Pantai Minajaya termasuk pantai tenang tak berombak karena terdapat karang yang memecah ombak hingga pantai ini aman bagi segala usia.
16,Curug Pangeran (Bogor),4.5,07.30-16-30 WIB,Rp10.000,"Alam,Air",Bogor,https://maps.app.goo.gl/vYBAPQKweCp8ATaD8,Air terjun atau Curug Pangeran ini memiliki ketinggian sekitar enam meter ini berada di bagian hulu mata air Gunung Salak
17,Pondok Halimun,4.6,24 Jam,Rp12.500,Alam,Sukabumi,https://maps.app.goo.gl/wmXDr24ovgpErDsG9,Area perkemahan berhawa sejuk. Gemericik sungai menambah rasa damai.
18,Alun-alun Kota Sukabumi,4.6,24 Jam,Gratis,"Keluarga,Alam",Sukabumi,https://maps.app.goo.gl/Y8AihFg1ywiEP4L9A,Tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. Tempat ini sangat indah dan bisa memberikan sensasi yang berbeda dengan aktivitas kita sehari hari.
19,Pusat Pendidikan Konservasi Alam Bodogol,5,08.00-16.00 WIB,Rp10.000,Pendidikan,Bogor,https://maps.app.goo.gl/wTr9v3q9xoHweJdJ6,Pusat Pendidikan Konservasi Alam Bodogol atau dikenal dengan PPKA Bodogol dijadikan sebagai lokasi kegiatan Kemah Konservasi Tahun 2017 tepatnya tanggal 30 - 31 Agustus 2017. Kegiatan ini merupakan salah satu pendidikan lingkungan dengan sasaran dari kalangan pelajar tingkat Sekolah Menengah Atas di Balai Besar Taman Nasional Gunung Gede Pangrango (TNGGP) khususnya wilayah Kabupaten/ Kota Bogor.
20,Lapangan Merdeka,4.5,08.00-18.00 WIB,Gratis,Sejarah&Budaya,Sukabumi,https://maps.app.goo.gl/sSMjr6wixpVbDdZG8,"Lapangan yang sudah mengalami beberapa kali perbaikan ini menyimpan sekali banyak sejarah hususnya bagi warga Sukabumi. Sesuai dengan namanya, Lapang Merdeka juga menjadi saksi bisu perjalanan Kemerdekaan Republik Indonesia dari masa ke masa."
21,Santa Sea Waterpark,4.2,09.00-16.00 WIB,Rp60.000,"Keluarga,Air",Sukabumi,https://maps.app.goo.gl/SGD8vno87vf9DpGH7,Santa Sea Waterpark merupakan taman air terlengkap sekaligus terbesar di Sukabumi yang menawarkan berbagai wahana permainan yang seru.
22,Cikanteh Waterfall,4.7,06.00-18.00 WIB,Rp5.000,"Alam,Air",Sukabumi,https://maps.app.goo.gl/SDAtErx36SMxyTdn9,"Untuk menikmati keindahan Curug Cikanteh, pengunjung harus menempuh perjalanan yang cukup menantang. Dari pintu masuk utama Curug Sodong yang merupakan tingkatan pertama, jaraknya sekitar 350 meter."
23,Taman Kota Cisaat,4.5,24 Jam,Gratis,"Alam,Sejarah&Budaya",Sukabumi,https://maps.app.goo.gl/2EN56xYVJ4NGeETz8,"Taman Cisaat dibangun pada tahun 1994 dengan mengangkat tema kearifan lokal ,digambarkan ikan bahwa Cisaat penghasil peternakan ikan tawar sebagai penopang perekonomian . Tiang tegak lurus diatasnya dilengkungkan adalah simbol bahwa potensi kerajinan pandai besi dan kerajinan industri kecil lainnya."
24,Pantai Keusik Urug,4.2,24 Jam,Rp5.000,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/w1J6LUVuZBrf1DQf6,"Pantai Keusik Urug Desa Buniasih, memiliki keistimewaan, berupa fenomena alam yang disebut Bedah Bugeul. Saat terjadi Bugeul airnya jernih, terlihat banyak udang (hurang) banyak."
25,Pantai Citepus,4.4,24 Jam,Rp5.000,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/ffoFidCQi93SrkA3A,"Pantai Citepus merupakan salah satu pantai yang menghadap ke selatan laut Jawa. Tempat wisata ini memiliki panorama pantai, taman terbuka, dan disekitar pantai terdapat kolam renang waterpark yang tidak jauh dari jalan raya di dekat bibir pantai"
26,Pantai Ombak Tujuh,4.6,24 Jam,Gratis,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/TnG85sJN7JftyzM4A,"Pantai Ombak Tujuh mempunyai ombak yang bergulung-gulung menerpa karang di pesisir pantai . Saat ombak yang satu akan pecah , ombak lain yang lebih besar sudah terlihat di belakang ombak yang pertama , demikian seterusnya sampai berturut-turut ombak itu bergantian menerpa karang tersebut."
27,Jembatan Gantung Situ Gunung,4.7,24 Jam,Rp18.000,Alam,Sukabumi,https://maps.app.goo.gl/FcydNQDiWXWVNgQB8,"Jembatan Gantung Situ Gunung merupakan jembatan gantung terpanjang, yang berada di tengah hutan, di Asia Tenggara. Membentang sepanjang 243 meter, dengan lebar 1,8 meter, dan ketinggian 121 meter di atas permukaan tanah."
28,Bukit Karang Para,4.2,24 Jam,Rp2.000,"Keluarga,Alam",Sukabumi,https://maps.app.goo.gl/b4FVreVQR4vShWam9,"Sebuah tempat wisata yang menghadirkan pemandangan yang indah, dengan hiasan batu karang yang menjadi primadonanya."
29,Pantai Amada Ratu,4.1,24 Jam,Rp5.000,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/UeMARyRxzd9qnBit6,"Keindahan dari Pantai Amanda Ratu memang bukan isapan jempol belaka, air laut yang berwarna biru kehijauan berpadu dengan pulau kecil yang letaknya tak jauh dari bibir pantai yang banyak disandingkan dengan pemandangan yang ada di Tanah Lot Bali."
30,Curug Puncak Manik,4.5,24 Jam,Rp3.000,"Alam,Air",Sukabumi,https://maps.app.goo.gl/FtpMhURx3QsWdUCCA,"Curug Puncak Manik, sebuah nama air terjun dari tiga air terjun yang ada dialiran ciletuh dan menjadi air terjun yang posisinya paling hilir. Puncak Manik bisa diakses dari desa Tamanjaya tetapi lebih mudah diakses dari desa Cibenda."
31,Danau Batu Bacan,4.5,24 Jam,Rp5.000,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/avXNDjhP7iTZm7kLA,"Wisata Sukabumi selanjutnya ialah Danau Batu Bacan. Sebenarnya, lokasi ini merupakan bekas lubang galian yang terisi air hujan. Bebatuan di sekitar danau lah yang membuat warnanya jadi kehijauan. View di sini begitu menarik bagi wisatawan yang gemar hunting foto."
32,Bukit Durian Sagara,4.5,08.00-20.00 WIB,Rp5.000,"Keluarga,Alam",Sukabumi,https://maps.app.goo.gl/soVu1fhYzP32m6LD9,Bukit Durian Sagara adalah tempat wisata tersembunyi di Sukabumi yang menawarkan pesona alam yang memukau. Berada di puncak bukit menjadikan destinasi wisata ini memiliki suasana yang sangat nyaman dengan udara yang sejuk.
33,Pantai Cimaja,4.6,24 Jam,Rp5.000,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/SPNJCTxL2LtXendQA,"Bila tertarik mencoba aktivitas surfing di kawasan wisata Sukabumi, kamu bisa datang ke Pantai Cimaja. Sebab, pantai ini dikenal memiliki ombak tinggi mencapai 4 meter, lho! Gak heran, bila Pantai Cimaja kerap menggelar kompetisi surfing nasional hingga internasional."
34,Pantai Batu  Bintang,4.4,24 Jam,Gratis,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/cTABKq9dieD72HLy8,"Pantai Batu Bintang merupakan salah satu objek wisata yang ramai didatangi pengunjung saat liburan di Pelabuhanratu. Pantai ini juga dikenal dengan sebutan Pantai Batu Bentang oleh masyarakat setempat. Pantai ini terkenal dengan batu-batu yang besar berbentuk bintang yang tersusun rapi  disepanjang  pantai. Pantai Batu Bintang menawarkan pemandangan yang indah dengan pasir yang landai dan ombak yang realtif kecil, karena adanya beton pemecah gelombang milik PLTU di sekitar pantai."
35,Pantai Cicaladi,4.5,24 Jam,Gratis,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/UyKBKnq66Xkcr1tZ9,"Daya tarik tempat ini adalah adanya ombak besar yang sesekali menghantam tebing karang. Hati-hati saat melihatnya, karena getarannya bisa terasa di tempatmu berdiri."
36,Wisata Alam Oasis,4.4,09.00-17.00 WIB,Rp15.000,"Keluarga,Air",Sukabumi,https://maps.app.goo.gl/VvzR2vZFo3dAfnwj9,"Konsep Wisata Alam Oasis adalah tempat main anak dan keluarga. Jadi, ada playground, waterpark, kolam renang, spot foto, wahana perahu, dan kuliner"
37,Kolam Renang Pasim Prana,4.3,07.00-04.00 WIB,Rp20.000,"Keluarga,Air",Sukabumi,https://maps.app.goo.gl/E1sTbYHohyPwKfd99,"Kolam renang Pasim Prana mempunyai kolam renang yang airnya bersih, nyaman dan aman untuk anak-anak serta bisa juga untuk dewasa. Fasilitas di kolam renang Pasim Prana diantaranya kantin, mushola, kamar mandi, toilet, parkir, arena bermain anak, sewa pelampung, kuda poni, dan gazebo."
38,Kolam Renang Pilar Mas,4.5,08.00-17.00 WIB,Rp25.000,"Keluarga,Air",Sukabumi,https://maps.app.goo.gl/bCTCtDnJCk9ifBcJ8,"Selain kolam renang, pengunjung bisa menemukan mini zoo, playground, dan terapi ikan. Kolam Renang Pilar Mas selalu dipadati wisatawan utamanya saat libur."
39,Museum Pegadaian,4.7,08.00-17.00 WIB,Gratis,Pendidikan,Sukabumi,https://maps.app.goo.gl/uwK6P3EPZq5tZvZj6,Satu-satunya museum di Indonesia yang menyajikan informasi mengenai sejarah dan sistem kerja Pegadaian di masa lalu.
40,Gunung Sunda,4.2,08.00-18.00 WIB,Rp5.000,Alam,Sukabumi,https://maps.app.goo.gl/y8akSBzpcs8zByVA9,"Dari puncak Gunung Sunda, pengunjung bisa menyaksikan kegagahan Gunung Gede Pangrango. Selain itu, panorama Kota Sukabumi tampak dari atas Gunung Sunda."
41,Wisata Alam Selabintana,4.4,07.00-18.00 WIB,Rp5.000,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/qJtzgaviXpeHbzBe9,"Selabintana memiliki beragam obyek wisata menarik, seperti kolam renang, hutan lindung, perkebunan teh, dan bumi perkemahan. Tentunya, lokasi tersebut menawarkan pemandangan alam yang indah sehingga cocok untuk spot foto Instagramable dengan tema alam."
42,Bukit Baros,4.3,08.00-16.00 WIB,Rp25.000,"Keluarga,Alam",Sukabumi,https://maps.app.goo.gl/kK9G52cw2EvQ1dnE9,Sebuah perbukitan yang dipenuhi pohon pinus
43,De Tani Waterpark,4.4,08.00-18.00 WIB,Rp25.000,"Alam,Air,Kuliner",Sukabumi,https://maps.app.goo.gl/BBygbbUn6j8xF2iT6,"Wisata Sukabumi yang satu ini menyediakan beragam fasilitas bagi pengunjung. Selain waterpark, wisatawan bisa menjumpai taman labirin, kafe dan restoran, spot foto Instagramable, dan agrowisata."
44,Situ Cijeruk,4.5,24 Jam,Rp6.000,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/LLpZjp8dPTWSww5S9,"Situ Cijeruk kabupaten sukabumi, memiliki air danau yang begitu jernih bahkan dinas kabupaten Sukabumi sampai meneliti air dari Situ Cijeruk, dan digunakan untuk kebutuhan warga kabupaten Sukabumi."
45,Sukasantai Farmstay,4.8,24 Jam,Rp900.000,"Keluarga,Alam",Sukabumi,https://maps.app.goo.gl/e5E3YjTa7Paj9Cqj9,"Para tamu bisa menikmati semilir angin sembari memanjakan mata dengan bentang alam Sukabumi yang indah. Total ada 12 kamar, ditambah satu vila privat bernama Rumah Santai di lokasi ini."
46,Pemandian Air Panas Cikundul,4.2,08.00-23.00 WIB,Rp5.000,"Keluarga,Alam,Air",Sukabumi,https://maps.app.goo.gl/wLMg25kwze49wKLH8,"Pemandian Air Panas Cikundul merupakan obyek wisata legendaris karena sudah dibangun sejak 1990. Selain kolam air panas, obyek wisata ini memiliki kolam pemandian air dingin dan penginapan"
47,Bubur Ayam Bunut,4.3,06.00-22.00 WIB,Rp15.000/Porsi,"Keluarga,Kuliner",Sukabumi,https://maps.app.goo.gl/7ThKxvad8irP46Kf9,"Telah berdiri sejak tahun 1981 dan pemiliknya masih merupakan generasi pertama. Warung ini pun tidak hanya populer dikalangan masyarakat Sukabumi, melainkan pelanggannya juga banyak datang dari luar kota, khususnya Ibu Kota Jakarta."
48,Bubur Ayam Odeon,4.5,07.00-21.30 WIB,Rp20.000/Porsi,"Keluarga,Kuliner",Sukabumi,https://maps.app.goo.gl/uWVXVTmH6eeCtTfz9,"Bubur berusia setengah abad ini unik karena disajikan dengan gaya Tionghoa. Bahkan cara menyantapnya pun bisa menggunakan sumpit! Bubur polos bertabur pangsit cocok dipadukan dengan sayur asin, daging ayam kampung rebus. Jangan lupa taburan pangsit gorengnya supaya tambah mantul!"
49,Martabak James,4.6,16.00-23.00 WIB,Rp47.000/Porsi,"Keluarga,Kuliner",Sukabumi,https://maps.app.goo.gl/JpMy2hgp3gUPHV9Y8,"Berdiri sejak tahun 1997, Martabak James tetap menjaga citarasa otentik turun temurun. Bahkan segala proses pembuatannya masih tradisional. Itulah kenapa pelanggannya tetap setia meski banyak pesaing bermunculan. Bahkan beberapa orang mengklaim bahwa martabak manis dan martabak telor di sini adalah yang paling enak di seantero Sukabumi"
50,Soto Mie Agih (non-halal),4.4,08.00-19.00 WIB,Rp40.000/Porsi,"Keluarga,Kuliner",Sukabumi,https://maps.app.goo.gl/rDTVr5yiqWV1sPhF9,"Soto mie asli Sukabumi ini begitu tersohor, bahkan cabangnya yang di Bogor selalu dipadati pengunjung tiap akhir pekan. Perpaduan tekstur mie yang kenyal, iga babi yang empuk dan mudah lepas dari tulangnya, potongan lobak, serta taburan daun bawang goreng gurih memang nggak ada lawan"
51,Laksa Pak Idrus,4.6,10.00 WIB-Habis,Rp10.000/Porsi,"Keluarga,Kuliner",Sukabumi,https://maps.app.goo.gl/PP4Emf6AiPeJ4t7r9,"Bukan cuma Bogor yang punya laksa, di Sukabumi ada laksa yang usianya sudah 70 tahun! Seporsi Laksa Pak Idrus terdiri dari racikan soun, toge, oncom merah, tahu, toge, kuah kuning, dan terakhir jangan lupa bubuhi daun kemangi supaya aromanya tambah menggugah selera."
52,Museum Palagan Bojongkokosan,4.3,08.00-16.00 WIB,Rp10.000,"Sejarah&Budaya,Pendidikan",Sukabumi,https://maps.app.goo.gl/XxVLqHdwgSAwQRFK6,Museum yang dibangun sebagai tanda penghargaan bagi para pejuang Sukabumi yang bertempur secara heroik melawan tentara Inggris dan Nederlandsch Indie Civil Administratie (NICA) yang datang dari arah Bogor menuju ke Sukabumi.
53,Rumah Fantasi,4.4,09.00-21.00 WIB,Rp50.000,"Keluarga,Petualangan",Sukabumi,https://maps.app.goo.gl/zyYtnbTVBpnCJdGi9,"Objek wisata di Sukabumi Kota ini didirikan pada tahun 2018. Ada banyak permainan yang bisa Moms, Dads, serta Si Kecil coba, lho."
54,Desa Ciptagelar,4.7,09.00-19.00 WIB,Rp5.000,"Sejarah&Budaya,Pendidikan",Sukabumi,https://maps.app.goo.gl/xKrzFLu7BKPboKXA6,"Berdiri sejak tahun 1368, kampung ini masih memegang kuat adat dan ajaran leluhur seperti ciri khas lokasi, bentuk rumah, serta tradisi yang masih dijalankan oleh penduduknya."
55,Caldera Adventure,4.6,08.00-16.00 WIB,Rp230.000,"Alam,Air,Petualangan",Sukabumi,https://maps.app.goo.gl/VUj1EE4AjT3u1NCV8,"Caldera Adventure di River Resort Citarik menyediakan aneka kegiatan outdoor seru, seperti arung jeram atau rafting di Sungai Citarik dan flying fox."
56,Mochi Kaswari Lampion,4.5,07.00-21.00 WIB,Rp40.000/bungkus,Kuliner,Sukabumi,https://maps.app.goo.gl/LBB867UiRfVcuSA7A,"Ya, ke Kota Mochi tanpa membeli mochi, rasanya kurang afdol ya. Nah salah satu yang jadi favorit para wisatawan saat berkunjung ke Sukabumi adalah Mochi Kaswari Lampion yang usianya sudah lebih dari 35 tahun. Selain menjual mochi tradisional khas Sukabumi, di sini kamu juga bisa menemukan mochi kekinian dengan isian es krim."
57,Bandros Ata,4.5,16.00-22.00 WIB,Rp17.000,Kuliner,Sukabumi,https://maps.app.goo.gl/GSfvPRHhufBAz4JL8,"Murah meriah dan terbuat dari bahan sederhana tapi kelezatannya tiada dua. Sekilas mirip dengan kue pancong, tapi bahannya berbeda, yaitu tepung beras dan campuran parutan kelapa serta santan. Rasa lembutnya terasa di tiap gigitan. Tak heran kalau orang rela antri untuk membeli kuliner malam ini"
58,Geco PDAM Abah Dodo,4.4,07.30-14.00 WIB,Rp10.000,"Keluarga,Kuliner",Sukabumi,https://maps.app.goo.gl/1jLFGaEL7riA6adj8,"Geco terbuat dari dua bahan utama yaitu tauge dan tauco. Ya, ciri khas menu ini adalah bumbu tauconya, yang terbuat dari dari biji kedelai yang direbus, dihaluskan, kemudian diaduk dengan tepung terigu, dan dibiarkan hingga tumbuh jamur fermentasi. Disajikan dengan mie, tahu dan ketupat, meski lokasi Geco Abah Dodo ini ada di dalam gang sempit, tapi penggemarnya tetap setia."
59,Sekoteng Singapore,4.5,16.00-01.00 WIB,Rp10.000,"Keluarga,Kuliner",Sukabumi,https://maps.app.goo.gl/n9G8MZGFerSN5zNB6,"Sekoteng singapore ini tidak jauh berbeda dengan sekoteng pada umumnya yang mengandalkan hangatnya air jahe dipadu dengan susu kental manis sebagai kuahnya. Hanya saja, sekoteng singapore ini isinya lebih beragam, antara lain kacang hijau, pacar cina, kolang kaling, biskuit dan sejenis manisan bengkuang yang renyah saat digigit."
60,Roti Priangan,4.7,09.00-17.00 WIB,Rp7.000,Kuliner,Sukabumi,https://maps.app.goo.gl/J5dWcrqj6m8YrAHB6,"Butuh perjuangan untuk bisa mencicipi roti yang sudah ada sejak 77 tahun silam ini. Kamu bisa membelinya dari gerobak penjual yang berkeliling atau menunggu roti-roti ini keluar dari pabrik tepat jam 14.00. Salah satu varian yang jadi favorit dan jadi menu andalan adalah Roti Tanduk yang berbentuk seperti tanduk kerbau. Tekstur rotinya sendiri padat mengenyangkan, namun tetap lembut di setiap gigitannya"
61,Taman Wisata Karang Resik,4.3,09.00-16.00 WIB,Rp35.000,"Keluarga,Air",Tasikmalaya,https://maps.app.goo.gl/8udi3J91J6e692mG6,"Taman Wisata Karang Resik adalah sebuah taman hiburan keluarga yang terletak di Jalan Mohamad Hatta, Tasikmalaya, Jawa Barat. Taman ini memiliki luas sekitar 5 hektar dan menawarkan berbagai macam wahana permainan, mulai dari seluncur air, kolam renang, hingga wahana permainan anak-anak."
62,TeeJay Waterpark,4.4,09.00-18.00 WIB,Rp30.000,"Keluarga,Air,Pendidikan",Tasikmalaya,https://maps.app.goo.gl/L4tA8dmBhbTKMEYh9,"Family-centric waterpark featuring swimming pools, colorful water slides & casual eats."
63,Situ Gede,4.4,24 Jam,Rp2.000,"Alam,Air,Kuliner",Tasikmalaya,https://maps.app.goo.gl/QpmUSDqQnWkBjzna8,"Situ Gede Attractions adalah sebuah objek wisata alam berupa danau yang terletak di kawasan Situ Gede, Tasikmalaya, Jawa Barat."
64,Waterboom Ma'arif Garden,4.4,08.00-17.00 WIB,Rp15.000,"Keluarga,Air",Tasikmalaya,https://maps.app.goo.gl/GzheunC5jp224W7x6,"Waterboom Ma'arif Garden adalah sebuah taman air yang terletak di Jalan Siliwangi, Tasikmalaya, Jawa Barat. Taman air ini memiliki luas sekitar 1,5 hektar dan menawarkan berbagai macam wahana air, mulai dari seluncur air, kolam renang, hingga kolam arus."
65,Mangkubumi Recreation and Water Park,4.5,07.00-16.30 WIB,Rp10.000,"Keluarga,Air",Tasikmalaya,https://maps.app.goo.gl/gXBAJp43791ymxKD6,Playful outdoor recreation area at Mangkubumi Hotel featuring swimming pools with a slide.
66,Pasir Pataya,4.3,08.00-16.00 WIB,Rp15.000,"Keluarga,Air",Tasikmalaya,https://maps.app.goo.gl/k6aBzsWfZxfDNPSN6,"Recreational area with outdoor swimming pools, rice fields & bamboo walkways, plus a restaurant."
67,Situ Sanghyang,4.2,24 Jam,Rp6.000,"Alam,Air",Tasikmalaya,https://maps.app.goo.gl/o5JdFZ5h4Hdambjh9,Situ Sanghyang adalah tempat wisata di Kabupaten Tasikmalaya berupa danau yang memiliki legenda besar di tanah Sunda.
68,Curug Badak,4.4,08.00-17.00 WIB,Rp10.000,"Alam,Air,Petualangan",Tasikmalaya,https://maps.app.goo.gl/FH7BaverHUTwSKzF7,Curug Badak Batu Hanoman merupakan salah satu wisata alam di Kabupaten Tasikmalaya yang memukau berupa air terjun yang eksotis.
69,Masjid Agung Tasikmalaya,4.8,24 Jam,Rp2.000,"Keluarga,Religi",Tasikmalaya,https://maps.app.goo.gl/Bfmoxb3SMHNFeKXJ9,"Ornate place of worship with several minarets, backed by public gardens with palm trees & fountains."
70,Wisata Alam Batu Mahpar Galunggung,4.3,08.00-17.00 WIB,Rp25.000,"Alam,Air,Sejarah&Budaya",Tasikmalaya,https://maps.app.goo.gl/6hF6PEZeeUj6x5VM9,Batu Mahpar merupakan wisata Tasikmalaya yang menawarkan keindahan alamnya yang alami dengan bebatuan yang menghampar. Wisata Alam Batu Mahpar ini juga memiliki wisata air dan air terjun yang indah.
71,Curug Batu Blek,4.4,24 Jam,Rp5.000,"Alam,Air,Petualangan",Tasikmalaya,https://maps.app.goo.gl/3Uoym3hAQ9C1dusY6,Curug Batu Blek memiliki banyak pesona yang dapat dinikmati wisatawan. Salah satunya curug ini memiliki dua air terjun dengan ketinggian sekitar 20 meteran
72,Gado Bangkong Waterfall,4.4,08.00-17.00 WIB,Rp7.000,"Alam,Air,Petualangan",Tasikmalaya,https://maps.app.goo.gl/wTvdvk7rXUnBCQrf7,"Air terjun atau curug ini terletak di lereng gunung Galunggung, Curug Gado sendiri memiliki ketinggian sekitar 70 meter dari permukaan tanah."
73,Kawah Gunung Galunggung,4.6,07.00-21.00 WIB,Rp25.000,"Alam,Petualangan",Tasikmalaya,https://maps.app.goo.gl/hfV9rnNcSAUx7bM89,"Kawah Gunung Galunggung yang luas menawarkan keindahan bentang alam. Untuk mencapainya tidak perlu mendaki, cukup menapaki ratusan anak tangga saja."
74,Kampung Naga,4.7,08.00-18.00 WIB,Gratis,"Sejarah&Budaya,Pendidikan,Religi",Tasikmalaya,https://maps.app.goo.gl/S14AJvkruH3J7RaS6,Traditional Sundanese village of thatch-roofed bamboo huts set in a valley lined with rice fields.
75,Wahana Edukasi Sukahaji Waterboom,4.3,08.00-16.00 WIB,Rp25.000,"Keluarga,Air",Ciamis,https://maps.app.goo.gl/ortBWGLkXaNoSKXe8,"Family-friendly water park with swimming pools & tube slides, plus a splash zone for younger kids."
76,Curug Tujuh Cibolang,4.5,08.00-18.00 WIB,Rp8.000,"Alam,Air,Petualangan",Ciamis,https://maps.app.goo.gl/UFL2xSJFLmUg5b8V7,Salah satu keindahan alam dari Curug Cibolang atau dikenal juga sebagai Curug Tujuh yaitu sesuai dengan namanya curug ini mempunyai 7 buah air terjun
77,Wisata Alam Cireong Park,4.4,07.00-17.00 WIB,Rp5.000,"Keluarga,Alam,Air",Ciamis,https://maps.app.goo.gl/yAbHh4s5NnbYKsmm9,"Leafy riverbank with open-air restaurants, plus rocky natural pools & streams for swimming."
